Date,Close/Last,Volume,Open,High,Low
12/13/2024,3.53,65500680,3.29,3.6199,3.26
12/12/2024,3.38,39795880,3.40,3.45,3.325
12/11/2024,3.28,62519890,3.38,3.4999,3.24
12/10/2024,3.50,57787980,3.32,3.5644,3.18
12/09/2024,3.325,45752180,3.31,3.3998,3.27
12/06/2024,3.165,39962230,3.065,3.21,3.0201
12/05/2024,3.05,45854720,3.05,3.10,2.99
12/04/2024,3.06,52625200,3.19,3.2799,3.02
12/03/2024,3.275,36881970,3.37,3.3801,3.26
12/02/2024,3.355,39320770,3.35,3.39,3.26
11/29/2024,3.365,21203000,3.44,3.4819,3.31
11/27/2024,3.52,35882200,3.535,3.69,3.52
11/26/2024,3.44,34899640,3.40,3.50,3.32
11/25/2024,3.485,50346020,3.215,3.49,3.215
11/22/2024,3.215,56767980,3.05,3.25,3.00
11/21/2024,3.02,77934540,2.91,3.27,2.76
11/20/2024,3.06,48948810,3.00,3.18,2.992
11/19/2024,3.015,42710710,3.28,3.29,3.00
11/18/2024,3.335,45366390,3.36,3.47,3.27
11/15/2024,3.245,34971960,3.12,3.33,3.115
11/14/2024,3.045,36528720,3.015,3.10,2.95
11/13/2024,3.065,36499860,2.96,3.0871,2.945
11/12/2024,2.985,43948680,3.05,3.085,2.93
11/11/2024,3.115,27472400,2.98,3.19,2.97
11/08/2024,3.025,25967440,2.98,3.08,2.93
11/07/2024,2.975,24448660,3.08,3.085,2.97
11/06/2024,3.12,33427680,3.23,3.2801,3.06
11/05/2024,3.385,23600910,3.51,3.52,3.36
11/04/2024,3.58,36497390,3.525,3.61,3.43
11/01/2024,3.62,35608030,3.66,3.665,3.51
10/31/2024,3.775,31428710,3.53,3.80,3.5298
10/30/2024,3.445,28388530,3.43,3.56,3.39
10/29/2024,3.345,18034170,3.40,3.466,3.30
10/28/2024,3.39,17747240,3.27,3.4083,3.265
10/25/2024,3.33,37453320,3.365,3.37,3.21
10/24/2024,3.395,27921870,3.37,3.49,3.34
10/23/2024,3.43,36970410,3.31,3.525,3.305
